gisaid_epi_isl	pango_lineage	date	region	country	division	unsorted_date
EPI_ISL_1408408	B.1.1.7	2021-03-18	Europe	Switzerland	Basel-Land	2021-01-15
EPI_ISL_1749899	B.1.1.7	2021-04-13	Europe	Switzerland	Bern	2020-03-08
EPI_ISL_2016901	B.1.1.7	2021-04-25	Europe	Switzerland	Aargau	2021-01-29
EPI_ISL_1749892	B.1.1.7	2021-04-13	Europe	Switzerland	Bern	2020-12-24
EPI_ISL_1597932	B.1.1.7	2021-03-19	Europe	Switzerland	Solothurn	2021-02-10
EPI_ISL_1407962	B.1.1.7	2021-03-15	Europe	Switzerland	Solothurn	2021-01-16
EPI_ISL_1750503	B.1.258.17	2020-12-24	Europe	Switzerland	Zürich	2021-02-14
EPI_ISL_1360935	B.1.1.7	2021-03-08	Europe	Switzerland	Jura	2021-01-03
EPI_ISL_2019235	B.1.1.7	2021-04-28	Europe	Switzerland	Basel-Stadt	2021-01-22
EPI_ISL_1749960	B.1.1.7	2021-04-15	Europe	Switzerland	Basel-Land	2021-02-03
EPI_ISL_1361468	B.1.1.7	2021-03-06	Europe	Switzerland	Zürich	2021-01-20
EPI_ISL_1408062	B.1.1.7	2021-03-03	Europe	Switzerland	Valais	2020-11-24
EPI_ISL_1597890	B.1.1.7	2021-03-21	Europe	Switzerland	Vaud	2021-01-25
EPI_ISL_1682849	B.1.236	2020-12-17	Europe	Switzerland	Thurgau	2021-01-21
EPI_ISL_1408805	B.1.221	2020-11-24	Europe	Switzerland	Schwyz	2020-12-09
EPI_ISL_1750868	B.1.1.189	2020-12-15	Europe	Switzerland	Solothurn	2021-01-20
EPI_ISL_2019350	B.1.1.7	2021-04-27	Europe	Switzerland	Valais	2020-12-21
EPI_ISL_2017036	B.1.1.7	2021-04-23	Europe	Switzerland	Solothurn	2021-03-09
EPI_ISL_1599113	B.1.1.39	2020-12-08	Europe	Switzerland	Zürich	2021-03-05
EPI_ISL_2214128	B.1.1.7	2021-05-10	Europe	Switzerland	Geneva	2020-11-13
EPI_ISL_2408472	B.1.1.7	2021-05-25	Europe	Switzerland	Obwalden	2021-03-02
EPI_ISL_830864	B.1.177	2020-10-08	Europe	Switzerland	Basel-Stadt	2021-03-03
EPI_ISL_581968	B.1.160	2020-08-17	Europe	Switzerland	Basel-Stadt	2021-03-25
EPI_ISL_2213804	Q.7	2021-05-08	Europe	Switzerland	Geneva	2021-04-12
EPI_ISL_2405276	B.1.1.7	2021-05-24	Europe	Switzerland	Vaud	2021-04-28
EPI_ISL_2213934	B.1.1.7	2021-05-13	Europe	Switzerland	Geneva	2021-04-23
EPI_ISL_2213984	B.1.1.7	2021-05-08	Europe	Switzerland	Geneva	2021-05-09
